,ASSIGN,BEGIN,COMMA,END,ID,INTNUM,LEFTPAR,MINUS,MODULO,MULTIPLY,PLUS,PRINT,RIGHTPAR,Read,SEMICOLON,dollar,
<Tiny-program>,,,,,BEGIN <statement-list> END,,,,,,,BEGIN <statement-list> END,,BEGIN <statement-list> END,,,
<bin-op>,,,,,,,,,,,,,,,,,
<exp-list>,,,,,<exp> <exp-list>_rem,<exp> <exp-list>_rem,<exp> <exp-list>_rem,,,,,,,,,,
<exp-list>_rem,,,,,COMMA <exp> <exp-list>_rem,COMMA <exp> <exp-list>_rem,COMMA <exp> <exp-list>_rem,,,,,,,,,,
<exp>,,,,,LEFTPAR <exp> RIGHTPAR <exp>_rem,LEFTPAR <exp> RIGHTPAR <exp>_rem,LEFTPAR <exp> RIGHTPAR <exp>_rem,,,,,,,,,,
<exp>_rem,,,,,<bin-op> <exp> <exp>_rem,<bin-op> <exp> <exp>_rem,<bin-op> <exp> <exp>_rem,<bin-op> <exp> <exp>_rem,<bin-op> <exp> <exp>_rem,<bin-op> <exp> <exp>_rem,<bin-op> <exp> <exp>_rem,,,,,,
<id-list>,,,,,,,,,,,,,,,,,
<id-list>_rem,,,,,,,,,,,,,,,,,
<statement-list>,,,,,<statement> <statement-list>_rem,,,,,,,<statement> <statement-list>_rem,,<statement> <statement-list>_rem,,,
<statement-list>_rem,,,,,<statement> <statement-list>_rem,,,,,,,<statement> <statement-list>_rem,,<statement> <statement-list>_rem,,,
<statement>,,,,,PRINT LEFTPAR <exp-list> RIGHTPAR SEMICOLON ID ASSIGN <exp> SEMICOLON Read LEFTPAR <id-list> RIGHTPAR SEMICOLON,PRINT LEFTPAR <exp-list> RIGHTPAR SEMICOLON ID ASSIGN <exp> SEMICOLON,PRINT LEFTPAR <exp-list> RIGHTPAR SEMICOLON ID ASSIGN <exp> SEMICOLON,,,,,,,,,
